Country,Trade_Openness,GDP_per_Capita,Export_Import_Ratio,Gross Domestic Product (GDP),Total_Trade,Population,Region,Trade_per_Capita,GDP_Size_Category,Cluster,Cluster_Name
Benin,56.5120656412852,1164.7153631123824,0.8103625011845075,13990103737.0,7821568040.428572,11951541.714285715,Africa,654.4400904428445,Small,0,Trade-Dependent (Open)
Bermuda,73.95934659173739,111113.73848775114,2.0751916163136737,7065497300.857142,5228723669.714286,63583.71428571428,Americas,82233.69346148835,Small,1,Trade Hub (Rich & Open)
Bhutan,83.23827113235056,3055.8293566018665,0.5992905363772733,2327469570.285714,1929691910.2857144,761243.2857142857,Asia,2534.9214193397534,Small,0,Trade-Dependent (Open)
Bolivia (Plurinational State of),57.00961761586664,3232.3657478053005,0.8154568397631115,37524432946.28571,21345486815.714287,11598355.285714285,Americas,1840.3891146536578,Small,0,Trade-Dependent (Open)
Bosnia and Herzegovina,93.24115828369489,5688.223247837923,0.7192953174342841,19272514270.285713,18017786717.42857,3399361.0,Europe,5300.345187648081,Small,0,Trade-Dependent (Open)
Botswana,91.18381870123075,6468.865358550794,0.9396900059404043,15855903334.285715,14382492517.571428,2449337.5714285714,Africa,5871.992772798103,Small,0,Trade-Dependent (Open)
Brazil,29.36596205031675,8525.661827357906,1.0125436345120982,1788571428571.4285,518857142857.1429,210003534.2857143,Americas,2470.706717493748,Small,0,Trade-Dependent (Open)
British Virgin Islands,188.92977249994289,46354.97725399111,1.4533268438557094,1405794611.7142856,2655965863.0,30306.0,Americas,87638.28492707714,Small,1,Trade Hub (Rich & Open)
Brunei Darussalam,103.17361500832264,29463.849458408655,1.250853132677816,12786737132.285715,13301655369.0,433875.28571428574,Asia,30657.785329029703,Small,0,Trade-Dependent (Open)
Bulgaria,123.42263270380576,9143.24365716667,1.0462920023385573,64786867994.85714,79704911529.0,7110380.285714285,Europe,11209.655226055622,Small,0,Trade-Dependent (Open)
Burkina Faso,57.728073065896226,755.1871712788941,0.8626348286426399,15500424394.571428,8919766867.142857,20399578.0,Africa,437.25251900519004,Small,0,Trade-Dependent (Open)
Burundi,36.03471909436969,286.45586547956583,0.2832242612831885,3319882872.142857,1201596650.5714285,11560831.142857144,Africa,103.93687406409657,Small,0,Trade-Dependent (Open)
Cabo Verde,103.10547430906931,3156.5966663216213,0.6448499266162534,1802452928.142857,1862663255.2857144,570615.8571428572,Africa,3264.303352192656,Small,0,Trade-Dependent (Open)
Cambodia,128.43430668087476,1458.2975233964257,0.9180884807959862,23410624345.285713,30123531955.42857,16013094.714285715,Asia,1881.181151608037,Small,0,Trade-Dependent (Open)
Cameroon,40.05528391573758,1520.8018683612731,0.8552266347325366,38273666229.57143,15242193117.857143,25095180.0,Africa,607.3753253755161,Small,0,Trade-Dependent (Open)
Canada,64.35159849240003,45668.77467952209,0.9468548902072945,1691428571428.5715,1087000000000.0,37000223.0,Americas,29378.201315165046,Small,0,Trade-Dependent (Open)
Cayman Islands,107.13477351294964,83012.35504491917,1.4502460254776603,5382104019.714286,5767993966.857142,64744.57142857143,Americas,89088.45698701711,Small,1,Trade Hub (Rich & Open)
Central African Republic,52.67930491726245,413.9131715217509,0.43158022743403357,2125313886.2857144,1115259822.857143,5117789.857142857,Africa,217.9182526028465,Small,0,Trade-Dependent (Open)
Chad,45.57265767321964,940.4537541593154,1.2567247918859732,14686040176.142857,6701330366.571428,15624894.285714285,Africa,428.8880451945458,Small,0,Trade-Dependent (Open)
Chile,58.413283081540676,14622.466793532269,1.0155581639284903,273571428571.42856,160209627900.2857,18693859.14285714,Americas,8570.1741238112,Small,0,Trade-Dependent (Open)
China,36.994501879477866,9610.142894004433,1.1175476815783565,13600000000000.0,5018571428571.429,1413662547.2857144,Asia,3550.0490822277748,Large,2,Large Self-Sufficient
"China, Hong Kong SAR",374.5509971242649,46095.43372951165,1.010351741555491,344285714285.7143,1289285714285.7144,7467213.857142857,Asia,172659.54062001745,Small,1,Trade Hub (Rich & Open)
"China, Macao SAR",122.98474544521814,67660.08230182536,1.9641026905121766,43791500927.71429,52717978159.85714,651152.8571428572,Asia,80960.98724218803,Small,1,Trade Hub (Rich & Open)
Colombia,36.97929263207802,6174.772847872541,0.7086384970150228,304142857142.8571,112653261852.71428,49286992.14285714,Americas,2285.6590949228867,Small,0,Trade-Dependent (Open)
Comoros,38.221115041135434,1470.8977198344935,0.35639313027689024,1144636264.0,436321787.85714287,776171.7142857143,Africa,562.1459527917423,Small,0,Trade-Dependent (Open)
Congo,117.23045867025031,2181.905779047699,1.142895040189277,11871264091.142857,13932608844.285715,5444760.714285715,Africa,2558.9019564679807,Small,0,Trade-Dependent (Open)
Cook Islands,144.82539289686815,18912.415484090463,1.4207600675996566,326869876.4285714,473482867.14285713,17290.14285714286,Oceania,27384.55494873214,Small,0,Trade-Dependent (Open)
Costa Rica,64.48872449245717,12172.245003587353,1.0371605605716239,61297609166.57143,39593697647.85714,5033802.428571428,Americas,7865.564493180489,Small,0,Trade-Dependent (Open)
Croatia,96.67232546950699,14104.406308160762,0.9774277634102245,58576578003.85714,56887484172.57143,4159753.4285714286,Europe,13675.686588016857,Small,0,Trade-Dependent (Open)
Cuba,23.021454439748428,8995.635216140823,1.168889015133289,101775238770.42857,22642430165.42857,11317188.857142856,Americas,2000.7115239698219,Small,0,Trade-Dependent (Open)
Curaçao,132.7767858621205,16054.044359584817,0.7405893990117164,2896907989.428571,3865238418.571429,181327.14285714287,Americas,21316.380756170773,Small,0,Trade-Dependent (Open)
Cyprus,151.32322290033395,27854.285599791558,1.0165502155839599,24119837484.857143,36771739932.14286,864831.7142857143,Europe,42518.95406323476,Small,0,Trade-Dependent (Open)
Czechia,145.8143595361494,22159.125602404823,1.0890411736104535,233285714285.7143,338714285714.2857,10527980.285714285,Europe,32172.76975469803,Small,0,Trade-Dependent (Open)
Côte d'Ivoire,47.800700247073344,2191.207011700269,1.0433778315223978,56142338552.57143,26778785580.42857,25512851.0,Africa,1049.6194870745167,Small,0,Trade-Dependent (Open)
D.P.R. of Korea,17.01631799718586,660.7368068443637,0.5271578230439606,16692864120.714285,2840510854.285714,25267576.42857143,Asia,112.4172261758272,Small,0,Trade-Dependent (Open)
D.R. of the Congo,66.18910260611189,504.4001331888416,0.8781378324086623,44074407788.71429,29431474005.285713,87158954.42857143,Africa,337.6758498107663,Small,0,Trade-Dependent (Open)
Denmark,105.76477132145864,59515.21446159833,1.1371228858505267,343428571428.5714,364142857142.8571,5766340.285714285,Europe,63149.734337565234,Small,1,Trade Hub (Rich & Open)
Djibouti,304.740610606806,2835.8457864706047,0.8741493226225818,3006501421.714286,9260610229.571428,1056665.4285714286,Africa,8763.994713152886,Small,0,Trade-Dependent (Open)
Dominica,97.85141587986745,7763.635264666018,0.5593193134535155,551257783.4285715,541902484.4285715,71020.42857142857,Americas,7630.233938725881,Small,0,Trade-Dependent (Open)
Dominican Republic,50.58253847517323,7615.088519820888,0.8071702940821452,82060047885.71428,41553137961.42857,10763659.714285715,Americas,3860.5027531926276,Small,0,Trade-Dependent (Open)
Ecuador,44.492325640192256,6087.6419026161375,0.998361093469153,103502743000.0,46140194714.28571,17011167.85714286,Americas,2712.3472710259457,Small,0,Trade-Dependent (Open)
Egypt,37.90584636605091,2949.616627486455,0.5963105105587341,306857142857.1429,112989086488.14285,103626280.42857143,Africa,1090.3516561710917,Small,0,Trade-Dependent (Open)
El Salvador,75.5970338259094,4071.2294419985014,0.6146435431456849,25544400678.0,19363819101.285713,6273098.142857143,Americas,3086.8031489885598,Small,0,Trade-Dependent (Open)
Equatorial Guinea,97.02837424239796,8026.100260713391,1.2523567643238263,11940606982.142857,11628409150.142857,1497461.5714285714,Africa,7765.414066051397,Small,0,Trade-Dependent (Open)
Eritrea,56.196958453723724,595.2532136440772,1.1184284293161622,2059672725.0,1154670923.142857,3460371.1428571427,Africa,333.6841267811157,Small,0,Trade-Dependent (Open)
Estonia,147.71554614621223,22041.900330707005,1.0358964761741936,29161516413.714287,43090249574.85714,1322209.142857143,Europe,32589.58675912952,Small,0,Trade-Dependent (Open)
Eswatini,87.14030054854392,3705.605807133666,1.0187414917254363,4305884766.714286,3754941022.285714,1161545.2857142857,Africa,3232.7116888745622,Small,0,Trade-Dependent (Open)
Ethiopia,30.56255568874817,741.8823746293816,0.3639413059998165,82954676604.14285,24721894258.57143,111241006.0,Africa,222.23724099161265,Small,0,Trade-Dependent (Open)
Fiji,94.11696846268764,5407.307080274417,0.7951897772716278,4971788228.0,4722563858.0,919583.2857142857,Oceania,5135.5477327230365,Small,0,Trade-Dependent (Open)
Finland,75.0654503030822,47805.32594290804,0.9885185158519294,263571428571.42856,198367973108.7143,5512182.571428572,Europe,35987.19210370857,Small,0,Trade-Dependent (Open)
France,61.696724248061614,40008.28918570328,0.9628744944032771,2661428571428.5713,1642571428571.4285,66507487.571428575,Europe,24697.54141302238,Small,0,Trade-Dependent (Open)
French Polynesia,52.89541834267441,19452.347401738018,0.51748146889685,5792994076.285714,3063285968.714286,297721.85714285716,Oceania,10289.08659280738,Small,0,Trade-Dependent (Open)
Gabon,72.5938084213124,7227.6826498344335,2.11289279481486,15843588910.285715,11505640251.0,2189069.5714285714,Africa,5255.950016924999,Small,0,Trade-Dependent (Open)
Gambia,49.841524123997154,679.8970224953399,0.43780037392112764,1669323959.4285715,833061007.7142857,2445604.4285714286,Africa,340.63603990155866,Small,0,Trade-Dependent (Open)
Georgia,103.65351535995637,4395.703580210101,0.7603520979508955,16565335451.714285,17231067410.142857,3768738.5714285714,Asia,4572.104719805831,Small,0,Trade-Dependent (Open)
Germany,86.14394834927802,45739.5650805594,1.1598750503791062,3790000000000.0,3267142857142.857,82830200.28571428,Europe,39443.86040204156,Small,0,Trade-Dependent (Open)
Ghana,65.23954734954708,2080.714555323378,0.957181688378827,64479785317.14286,41491792370.14286,30864838.14285714,Africa,1344.3061706042042,Small,0,Trade-Dependent (Open)
Greece,74.81638672950312,18954.712961267152,0.920263767563748,201428571428.57144,151366290595.57144,10630500.42857143,Europe,14238.867832481963,Small,0,Trade-Dependent (Open)
Greenland,87.07008983035162,52195.89989740421,0.8616594015349717,2922351849.142857,2549211708.285714,55981.42857142857,Europe,45536.739117564495,Small,0,Trade-Dependent (Open)
Grenada,104.41697697889286,9055.488989611677,0.8773815676421929,1103290864.7142856,1155583013.857143,121814.57142857143,Americas,9486.410371970513,Small,0,Trade-Dependent (Open)
Guatemala,46.55504761595014,4354.291663806476,0.6403810281753738,73429129025.85715,34155848013.0,16828364.14285714,Americas,2029.6594323160978,Small,0,Trade-Dependent (Open)
Guinea,100.29482688426833,938.2935096617776,0.7680811864129397,11890925948.285715,12147142771.285715,12566747.714285715,Africa,966.6099015799451,Small,0,Trade-Dependent (Open)
Guinea-Bissau,54.68737602801389,690.3196964157332,0.7168590938300278,1332735348.4285715,724016853.1428572,1925036.857142857,Africa,376.10544985483773,Small,0,Trade-Dependent (Open)
Guyana,122.13968440590114,6746.947562831062,0.8348028193288711,5283982823.571428,6669636559.428572,780486.5714285715,Americas,8545.485346686664,Small,0,Trade-Dependent (Open)
Haiti,41.78394484545182,1401.3912767045633,0.30987451382715603,15455082943.714285,6401898104.571428,11009768.285714285,Americas,581.4743724332695,Small,0,Trade-Dependent (Open)
Honduras,99.49598096263493,2436.995147155786,0.6970910148061152,23901133383.0,23750439652.42857,9790561.714285715,Americas,2425.8505635865163,Small,0,Trade-Dependent (Open)
Hungary,162.80031117298077,15506.570417731356,1.0560986276077031,151571428571.42856,246411638203.85715,9779543.42857143,Europe,25196.640313897795,Small,0,Trade-Dependent (Open)
Iceland,84.70514716609841,65477.98310035642,1.0813851911414238,23060855364.857143,19468236714.285713,351584.4285714286,Europe,55372.863904666665,Small,1,Trade Hub (Rich & Open)
India,41.364301126971114,1933.2609916640956,0.8948155191855601,2648571428571.4287,1098857142857.1428,1367394978.5714285,Asia,803.6135572218952,Small,0,Trade-Dependent (Open)
Indonesia,38.944722043907106,3861.939962850572,1.0404205737691523,1031857142857.1428,401285714285.7143,266814555.14285713,Asia,1503.9873445841774,Small,0,Trade-Dependent (Open)
Iran (Islamic Republic of),45.979096871289265,5970.687948043159,0.956303618876704,510142857142.8571,235816570963.42856,85285362.42857143,Asia,2765.0298274915663,Small,0,Trade-Dependent (Open)
Iraq,67.69579228758353,4802.801289587182,1.2388610335164043,195285714285.7143,133185693968.14285,40617387.71428572,Asia,3279.0315050541653,Small,0,Trade-Dependent (Open)
Ireland,230.00169778279067,77848.3536351335,1.22735011989089,377428571428.5714,872428571428.5714,4830939.0,Europe,180591.9245572282,Small,1,Trade Hub (Rich & Open)
Israel,56.82820378035933,44339.8954077009,1.1026172388966444,376428571428.5714,212911525041.14285,8456856.285714285,Asia,25176.202343748337,Small,0,Trade-Dependent (Open)
Italy,58.3742700585085,32941.627387874665,1.108713279427183,1970000000000.0,1152428571428.5715,59814547.0,Europe,19266.693960393473,Small,0,Trade-Dependent (Open)
Jamaica,80.31357594180633,5239.721120624347,0.6757229638814987,14730764950.857143,11885604260.0,2811322.1428571427,Americas,4227.7631861572,Small,0,Trade-Dependent (Open)
Japan,34.536356239380815,39098.75067941397,1.001068963814983,4930000000000.0,1701714285714.2856,126116013.71428572,Asia,13493.24511294417,Small,0,Trade-Dependent (Open)
Jordan,84.99434087881528,4063.1534377307757,0.6346192841238993,42323439447.85714,35849734808.42857,10415690.0,Asia,3441.897253895668,Small,0,Trade-Dependent (Open)
Kazakhstan,59.22395235709333,9348.091376724846,1.2702978766740436,173285714285.7143,102592349617.57143,18528191.57142857,Asia,5537.09460645766,Small,0,Trade-Dependent (Open)
Kenya,33.627390072883806,1794.4618214528762,0.5671667802989138,90024921452.57143,29822845432.57143,49941491.85714286,Africa,597.1556780458097,Small,0,Trade-Dependent (Open)
Kiribati,111.8801982751862,1530.7714129306385,0.14014943494631535,187675332.42857143,208297362.7142857,122488.71428571429,Oceania,1700.5433025316615,Small,0,Trade-Dependent (Open)
Kosovo,82.25204381489858,4445.959540731559,0.4795709213756778,7582398168.714286,6306929980.857142,1710148.4285714286,Europe,3687.9430320125093,Small,0,Trade-Dependent (Open)
Kuwait,95.3386199728345,29259.10703824413,1.1788259819840436,123142857142.85715,117740993694.14285,4207225.0,Asia,27985.428327256766,Small,0,Trade-Dependent (Open)
Kyrgyzstan,100.69037552345229,1257.3412615013224,0.5238911238650272,7836841777.285714,7871237011.857142,6222042.0,Asia,1265.0568755172567,Small,0,Trade-Dependent (Open)
Lao People's DR,68.00062758154743,2455.093429402331,0.9252522298314483,17477124779.714287,11933177376.428572,7105459.142857143,Asia,1679.4378992981133,Small,0,Trade-Dependent (Open)
Latvia,122.57051979003616,16958.51769494241,0.9874177581696315,32718384915.42857,40192831840.14286,1934778.4285714286,Europe,20773.868080501503,Small,0,Trade-Dependent (Open)
Lebanon,80.58911452803679,8079.741496775133,0.4714682898646313,48288546430.71429,37619337994.71429,5965015.857142857,Asia,6306.661859023678,Small,0,Trade-Dependent (Open)
Lesotho,138.8244926928153,1056.805572989031,0.4914193847903544,2322690350.285714,3227112649.142857,2198897.5714285714,Africa,1467.6048084614868,Small,0,Trade-Dependent (Open)
Liberia,85.00773510150847,539.7596877499801,0.5945526541476799,2634568212.571429,2237791426.571429,4895819.571428572,Africa,457.08208685444964,Small,0,Trade-Dependent (Open)
Libya,59.87486498751192,8793.33514376829,1.1614468263242246,56796409371.14286,34217024969.142857,6469827.428571428,Africa,5288.707519158383,Small,0,Trade-Dependent (Open)
Liechtenstein,118.9011872442036,167695.9902575653,1.2183007965470125,6403207814.714286,7617952127.571428,38187.28571428572,Europe,199489.22750279633,Small,1,Trade Hub (Rich & Open)
Lithuania,144.2097876551524,18141.226846829155,1.0475077139058535,51998642590.28571,75429264120.28572,2876288.1428571427,Europe,26224.51589476656,Small,0,Trade-Dependent (Open)
Luxembourg,364.100957695541,114682.99150001843,1.1995937961859973,69751299732.0,254925472038.2857,606664.0,Europe,420208.6691122033,Small,1,Trade Hub (Rich & Open)
Madagascar,59.61856017863054,487.26666810762316,0.8273879783192035,13102645648.857143,7801101385.571428,26863271.42857143,Africa,290.40027408107403,Small,0,Trade-Dependent (Open)
Malawi,54.90765095382538,533.9009105258982,0.4470667944149382,9879157854.428572,5278839969.0,18389679.42857143,Africa,287.0544856153633,Small,0,Trade-Dependent (Open)
Malaysia,127.37805919701475,10382.803080275784,1.1157110641991297,336428571428.5714,428285714285.7143,32364030.714285713,Asia,13233.386102821425,Small,0,Trade-Dependent (Open)
Maldives,144.73811885478165,9818.34841258871,0.9302026266116273,4757853962.571428,6928340836.285714,484633.85714285716,Asia,14296.03139395072,Small,0,Trade-Dependent (Open)
Mali,63.71551107915712,808.9546145853435,0.6790414311929578,16208596793.285715,10361162053.285715,19965016.14285714,Africa,518.9658740643,Small,0,Trade-Dependent (Open)
Malta,313.107073078483,28968.534555130747,1.1034668531864862,14307781183.857143,45005074647.0,491586.85714285716,Europe,91550.60594697986,Small,1,Trade Hub (Rich & Open)
Marshall Islands,124.76433871229486,4905.790095563294,0.4611847691909929,223126346.57142857,277584420.5714286,45872.28571428572,Oceania,6051.244585899984,Small,0,Trade-Dependent (Open)
Mauritania,87.09931276972927,1771.5713981958813,0.7345668120061565,7615308021.428572,6746128674.285714,4275180.571428572,Africa,1577.9751431718973,Small,0,Trade-Dependent (Open)
Mauritius,98.26916242657876,9967.97708314319,0.881588027056135,12915338480.285715,12705226274.857143,1295744.0,Africa,9805.352195230804,Small,0,Trade-Dependent (Open)
Mexico,77.68342166606537,9533.345219162118,0.9726436470244237,1180000000000.0,918142857142.8572,123758712.57142857,Americas,7418.81390058047,Small,0,Trade-Dependent (Open)
Micronesia (FS of),99.8197781958393,3395.542248344084,0.4025602954478954,377361084.0,375857831.14285713,111051.71428571429,Oceania,3384.52975319092,Small,0,Trade-Dependent (Open)
Monaco,61.728085724811805,189842.39706478114,0.9628626765655366,7010420503.571428,4328707305.571428,36935.142857142855,Europe,117197.52438250833,Small,1,Trade Hub (Rich & Open)
Mongolia,112.91019568347234,4061.3369524966733,0.9751441859929294,12868221246.857143,14644474679.714285,3161267.4285714286,Asia,4632.469416335364,Small,0,Trade-Dependent (Open)
Montenegro,103.26315763258776,7906.328543012082,0.629206987544768,4988950962.857142,5168836359.571428,631203.7142857143,Europe,8188.85605801704,Small,0,Trade-Dependent (Open)
Montserrat,114.59272261258197,13911.619880705193,0.3977346385878876,64492733.28571428,73869219.14285715,4660.571428571428,Americas,15849.820193722415,Small,0,Trade-Dependent (Open)
Morocco,72.80294175408868,3422.0820898581505,0.790762168642748,123000000000.0,89793537933.28572,35901873.14285714,Africa,2501.0822576300757,Small,0,Trade-Dependent (Open)
Mozambique,104.82103316441395,492.36007712958366,0.4918015599335905,14468015299.857143,15165805431.285715,29439137.714285713,Africa,515.1579362980566,Small,0,Trade-Dependent (Open)
Myanmar,56.33448819947039,1312.5793463386415,0.9323482443941682,69115464880.57143,39003877879.71429,52656021.0,Asia,740.7296855893135,Small,0,Trade-Dependent (Open)
Namibia,85.04643328309076,4989.231216591924,0.6933962217309938,11995508951.142857,10176940616.714285,2406023.285714286,Africa,4229.776443619504,Small,0,Trade-Dependent (Open)
Nauru,111.88019841773018,10950.704823374906,0.1401494370897412,130471885.71428572,144365116.42857143,11883.714285714286,Oceania,12148.147705142692,Small,0,Trade-Dependent (Open)
Nepal,45.121519206399725,1057.2027198209596,0.20682368913324672,30352131438.57143,13710896574.285715,28625394.42857143,Asia,478.9766865395806,Small,0,Trade-Dependent (Open)
Netherlands,154.1824714706777,50618.61477484054,1.1370343961630038,875285714285.7142,1349857142857.1428,17279766.714285713,Europe,78117.78742019559,Small,1,Trade Hub (Rich & Open)
New Caledonia,58.90838654330259,32828.61176216145,0.5020598198076245,9360774496.285715,5514015963.0,285083.71428571426,Oceania,19341.74309751622,Small,0,Trade-Dependent (Open)
New Zealand,52.12780473678024,42895.19476342919,0.9915733649554196,208714285714.2857,108477088412.71428,4856191.857142857,Oceania,22337.891830438683,Small,0,Trade-Dependent (Open)
Nicaragua,96.09727976899293,2001.8317185347473,0.793972849778358,13150073283.428572,12654880181.857143,6572993.857142857,Americas,1925.2840420815417,Small,0,Trade-Dependent (Open)
Niger,38.63690220624494,538.010444435626,0.4496378572512803,12234972865.571428,4698219137.142858,22627800.14285714,Africa,207.6303974527516,Small,0,Trade-Dependent (Open)
Nigeria,26.200862128258755,2189.626578022195,0.8330887583319333,433428571428.5714,113723198846.28572,198511352.2857143,Africa,572.8800773197378,Small,0,Trade-Dependent (Open)
North Macedonia,129.21038735186127,5641.115172394003,0.7994413455411334,11904158471.714285,15516291340.142857,2110315.1428571427,Europe,7352.594418260888,Small,0,Trade-Dependent (Open)
Norway,69.38699101834955,76390.70751470092,1.137518300941896,405571428571.4286,281857142857.1429,5306828.142857143,Europe,53112.16705528999,Small,1,Trade Hub (Rich & Open)
Oman,89.96254174699781,18414.154894479125,1.1544527763293602,82623507043.85715,74350279704.57143,4485642.142857143,Asia,16575.16969403489,Small,0,Trade-Dependent (Open)
Pakistan,26.779489078456745,1425.120979949803,0.5137782635289628,313857142857.1429,83961019876.71428,220356772.85714287,Asia,381.0230962637402,Small,0,Trade-Dependent (Open)
Palau,118.24374548844335,15167.393461251142,0.5228696187005096,271223919.71428573,324180922.5714286,17889.0,Oceania,18121.802368574463,Small,0,Trade-Dependent (Open)
Panama,88.07443544217381,14548.421802034938,0.9965995060389982,60528296218.14286,53336678401.71429,4160421.1428571427,Americas,12820.019072657069,Small,0,Trade-Dependent (Open)
Papua New Guinea,93.92935178607765,2519.765861622687,1.3443909412756592,23519198200.57143,21974788351.0,9323847.0,Oceania,2356.8370814107097,Small,0,Trade-Dependent (Open)
Paraguay,68.6881229747858,5885.113404451746,1.1044031158619914,37905661242.14286,26076408150.57143,6442259.571428572,Americas,4047.71149958321,Small,0,Trade-Dependent (Open)
Peru,47.511787377750046,6511.381507974672,1.035906470569361,209857142857.14285,100032644312.28572,32214165.714285713,Americas,3105.237776433403,Small,0,Trade-Dependent (Open)
Philippines,64.50728723887889,3197.5142348984928,0.7496116564557646,347571428571.4286,224495643124.0,108523725.28571428,Asia,2068.6319284834935,Small,0,Trade-Dependent (Open)
Poland,101.50304462600967,14611.500230884109,1.0658894922753646,562142857142.8572,574142857142.8572,38481317.28571428,Europe,14920.041662814923,Small,0,Trade-Dependent (Open)
Portugal,82.80860523305444,22048.376124757808,0.9963976480016228,227285714285.7143,188640288098.57144,10310538.714285715,Europe,18295.871178603098,Small,0,Trade-Dependent (Open)
Puerto Rico,128.43443682520652,31000.67735289966,1.336817549661611,103714285714.28572,133174371428.57143,3348033.0,Americas,39776.89928043464,Small,0,Trade-Dependent (Open)
Qatar,91.45947768290726,61856.77360561661,1.4200993786174851,165428571428.57144,151397684458.2857,2677725.8571428573,Asia,56539.65063467235,Small,1,Trade Hub (Rich & Open)
Republic of Korea,76.36657523003389,31599.9054927053,1.131726957886794,1630000000000.0,1246000000000.0,51567368.85714286,Asia,24162.56690256575,Small,0,Trade-Dependent (Open)
Republic of Moldova,85.72165161768478,3387.977352276915,0.5534664018802641,10636438619.142857,9093878839.714285,3154385.4285714286,Europe,2882.932046713378,Small,0,Trade-Dependent (Open)
Romania,84.75448302453641,11685.704251772479,0.929602611472698,228857142857.14285,193938811165.57144,19614906.285714287,Europe,9887.31775419283,Small,0,Trade-Dependent (Open)
Russian Federation,48.83842548374808,10643.99124458208,1.347981834209463,1547142857142.8572,758142857142.8572,145334963.57142857,Europe,5216.52077733001,Small,0,Trade-Dependent (Open)
Rwanda,53.014599235781546,770.0888939803029,0.5408096791960392,9674733774.285715,5154187337.571428,12539897.57142857,Africa,411.02308118647994,Small,0,Trade-Dependent (Open)
Saint Kitts and Nevis,91.70640671579496,20814.001141984798,0.6720181330463528,993459259.0,911057563.8571428,47726.28571428572,Americas,19089.219917745235,Small,0,Trade-Dependent (Open)
Saint Lucia,77.78257055977477,10638.504732140897,0.8449339337626111,1891122591.0,1482168367.857143,177794.0,Americas,8336.436369377723,Small,0,Trade-Dependent (Open)
Samoa,73.57416410561811,4125.979782845305,0.5568189299674574,867210871.7142857,640294286.4285715,210292.0,Oceania,3044.7867081418763,Small,0,Trade-Dependent (Open)
